,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,min_supplied_demand,min_deficit_sq,supplied_demand_GINI,experiment,scenario
0,-0.578124759,0.400731925,0.210518844,0.797594698,5.751,1.349,0,0.4,2.2,2.683520866,0.554994749,0.409638503,1.581795187,0.733800695,2.93292,0.75717,0.94351,0.78229,1.20143,0.91497,0.73299,0.43416,2.02201,0.61077,0.08503,0.26701,0.56584,1.02201,0.38923,147,108,68,299,89,0.43416,0.04087,0.295225774,gini minimization and supplied demand maximization - 5k nfe,2020_drought
1,-0.155706384,0.959473808,-0.011010348,-0.602197645,5.751,1.349,0,0.4,2.2,2.95809281,0.191812525,0.916814701,0.39735822,1.499671744,2.93292,0.75717,0.94351,0.78229,1.20143,1.00858,0.25333,0.97171,0.50794,1.24824,0.00858,0.74667,0.02829,0.49206,0.24824,162,37,152,75,183,0.25333,0.00063,0.249682691,gini minimization and supplied demand maximization - 5k nfe,2020_drought
2,0.08156403,0.061582151,0.384084578,0.539268419,5.751,1.349,0,0.4,2.2,3.11231858,0.775442102,0.076373422,0.985085393,1.014530503,2.93292,0.75717,0.94351,0.78229,1.20143,1.06117,1.02413,0.08095,1.25923,0.84444,0.06117,0.02413,0.91905,0.25923,0.15556,170,150,13,186,124,0.08095,0.00033,0.241062128,gini minimization and supplied demand maximization - 5k nfe,2020_drought
3,0.084544088,0.468341547,-0.966097141,0.355682989,5.751,1.349,0,0.4,2.2,3.114255617,0.511048495,1.218385147,0.863817825,0.256242916,2.93292,0.75717,0.94351,0.78229,1.20143,1.06183,0.67495,1.29133,1.10422,0.21328,0.06183,0.32505,0.29133,0.10422,0.78672,170,99,202,163,31,0.21328,0.00665,0.237975336,gini minimization and supplied demand maximization - 5k nfe,2020_drought
4,-0.412183293,0.180077049,-0.571141131,0.029514075,5.751,1.349,0,0.4,2.2,2.79138282,0.698420418,0.774291817,0.974680829,0.724974116,2.93292,0.75717,0.94351,0.78229,1.20143,0.95174,0.92241,0.82065,1.24593,0.60343,0.04826,0.07759,0.17935,0.24593,0.39657,153,136,128,184,88,0.60343,0.00345,0.124651421,gini minimization and supplied demand maximization - 5k nfe,2020_drought
5,-0.118941689,0.532557523,-0.513470333,0.024472862,5.751,1.349,0,0.4,2.2,2.981989862,0.46930811,0.965918107,0.780796998,0.765736923,2.93292,0.75717,0.94351,0.78229,1.20143,1.01673,0.61982,1.02375,0.99809,0.63735,0.01673,0.38018,0.02375,0.00191,0.36265,163,91,160,147,93,0.61982,0,0.110550452,gini minimization and supplied demand maximization - 5k nfe,2020_drought
6,-0.286960513,-0.065808109,-0.95957813,-0.801551473,5.751,1.349,0,0.4,2.2,2.872777627,0.858245771,0.866950514,0.353093415,1.012682673,2.93292,0.75717,0.94351,0.78229,1.20143,0.97949,1.13349,0.91886,0.45136,0.8429,0.02051,0.13349,0.08114,0.54864,0.1571,157,167,144,67,123,0.45136,0.00362,0.138771642,gini minimization and supplied demand maximization - 5k nfe,2020_drought
7,-0.772029889,-0.487762186,-0.86050033,-0.280484734,5.751,1.349,0,0.4,2.2,2.557482532,1.132515921,0.528279794,1.007081891,0.738389862,2.93292,0.75717,0.94351,0.78229,1.20143,0.87199,1.49572,0.55991,1.28735,0.61459,0.12801,0.49572,0.44009,0.28735,0.38541,140,220,87,190,90,0.55991,0.05053,0.210733897,gini minimization and supplied demand maximization - 5k nfe,2020_drought
8,0.154929047,0.193991,-0.501452888,-0.797336857,5.751,1.349,0,0.4,2.2,3.160005841,0.68937635,0.738038527,0.068604702,1.30772458,2.93292,0.75717,0.94351,0.78229,1.20143,1.07743,0.91046,0.78223,0.0877,1.08847,0.07743,0.08954,0.21777,0.9123,0.08847,173,134,122,13,159,0.0877,0.0046,0.232799921,gini minimization and supplied demand maximization - 5k nfe,2020_drought
9,0.979730785,0.273077068,-0.079616069,0.556019574,5.751,1.349,0,0.4,2.2,3.69612697,0.637970406,0.515250538,0.412165253,0.702236833,2.93292,0.75717,0.94351,0.78229,1.20143,1.26022,0.84257,0.5461,0.52687,0.5845,0.26022,0.15743,0.4539,0.47313,0.4155,202,124,85,78,86,0.52687,0.01421,0.187558307,gini minimization and supplied demand maximization - 5k nfe,2020_drought
10,-0.376265524,0.619419089,0.219285053,0.438246975,5.751,1.349,0,0.4,2.2,2.814729369,0.412848092,0.546087123,1.217010665,0.973074751,2.93292,0.75717,0.94351,0.78229,1.20143,0.9597,0.54525,0.57878,1.5557,0.80993,0.0403,0.45475,0.42122,0.5557,0.19007,154,80,90,230,119,0.54525,0.01397,0.215924987,gini minimization and supplied demand maximization - 5k nfe,2020_drought
11,-0.251420067,0.545074684,0.027000956,-0.231152459,5.751,1.349,0,0.4,2.2,2.895878917,0.461171955,0.622747923,0.700751485,1.28319972,2.93292,0.75717,0.94351,0.78229,1.20143,0.98737,0.60907,0.66003,0.89577,1.06806,0.01263,0.39093,0.33997,0.10423,0.06806,158,89,103,132,156,0.60907,0.00137,0.11803142,gini minimization and supplied demand maximization - 5k nfe,2020_drought
12,0.474500847,0.566677298,0.304805389,-0.331990137,5.751,1.349,0,0.4,2.2,3.367727511,0.447130256,0.456216741,0.1633584,1.529317091,2.93292,0.75717,0.94351,0.78229,1.20143,1.14825,0.59053,0.48353,0.20882,1.27291,0.14825,0.40947,0.51647,0.79118,0.27291,184,87,76,31,186,0.20882,0.09612,0.301605814,gini minimization and supplied demand maximization - 5k nfe,2020_drought
13,0.216282557,0.163561642,-0.653516353,-0.638125057,5.751,1.349,0,0.4,2.2,3.199885622,0.709155432,0.817100697,0.132212591,1.105395658,2.93292,0.75717,0.94351,0.78229,1.20143,1.09102,0.93659,0.86602,0.16901,0.92007,0.09102,0.06341,0.13398,0.83099,0.07993,175,138,135,25,135,0.16901,0.00231,0.192290174,gini minimization and supplied demand maximization - 5k nfe,2020_drought
14,-0.623446564,0.397696256,-0.649708021,-0.178219713,5.751,1.349,0,0.4,2.2,2.654061694,0.556967933,0.96681278,0.976974993,0.8089326,2.93292,0.75717,0.94351,0.78229,1.20143,0.90492,0.73559,1.0247,1.24887,0.67331,0.09508,0.26441,0.0247,0.24887,0.32669,145,108,160,185,99,0.67331,0.00054,0.125581649,gini minimization and supplied demand maximization - 5k nfe,2020_drought
15,0.532861499,0.678770036,0.06057195,0.952783611,5.751,1.349,0,0.4,2.2,3.405661935,0.374269977,0.687828756,0.960526913,0.53546242,2.93292,0.75717,0.94351,0.78229,1.20143,1.16118,0.4943,0.72901,1.22784,0.44569,0.16118,0.5057,0.27099,0.22784,0.55431,186,73,114,181,65,0.44569,0.03177,0.219927945,gini minimization and supplied demand maximization - 5k nfe,2020_drought
16,-0.909781039,0.406479206,0.519426022,-0.607632409,5.751,1.349,0,0.4,2.2,2.467944285,0.551259016,0.21258457,0.88397415,1.84798798,2.93292,0.75717,0.94351,0.78229,1.20143,0.84146,0.72805,0.22531,1.12998,1.53816,0.15854,0.27195,0.77469,0.12998,0.53816,135,107,35,167,225,0.22531,0.01034,0.27135623,gini minimization and supplied demand maximization - 5k nfe,2020_drought
17,0.089264957,-0.167979859,-0.090581759,0.791337422,5.751,1.349,0,0.4,2.2,3.117324182,0.924657408,0.235691235,1.143924642,0.542152532,2.93292,0.75717,0.94351,0.78229,1.20143,1.06287,1.2212,0.2498,1.46228,0.45126,0.06287,0.2212,0.7502,0.46228,0.54874,170,179,39,216,66,0.2498,0.02805,0.287349266,gini minimization and supplied demand maximization - 5k nfe,2020_drought
18,-0.512766954,0.092340298,0.170206214,-0.711657186,5.751,1.349,0,0.4,2.2,2.72600344,0.755449306,0.235387155,0.55829889,1.68861121,2.93292,0.75717,0.94351,0.78229,1.20143,0.92945,0.99773,0.24948,0.71367,1.4055,0.07055,0.00227,0.75052,0.28633,0.4055,149,147,39,105,206,0.24948,0,0.241732098,gini minimization and supplied demand maximization - 5k nfe,2020_drought
19,0.091280814,0.204303415,-0.932392987,0.513855884,5.751,1.349,0,0.4,2.2,3.118634489,0.68267328,1.024852662,0.962251336,0.175338233,2.93292,0.75717,0.94351,0.78229,1.20143,1.06332,0.90161,1.08621,1.23004,0.14594,0.06332,0.09839,0.08621,0.23004,0.85406,170,132,170,182,21,0.14594,0.00555,0.212580639,gini minimization and supplied demand maximization - 5k nfe,2020_drought
