aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment
-0.5382669169180314,-0.12422481269885588,-0.008375517236298702,-0.7669155497424274,1.539,0.361,0.2,0.1,0.5,0.46881294400327955,0.2989706282542563,0.11059795794933786,0.029967448664142634,0.7465510211289836,1.6549,2.933,0.757,0.944,0.782,1.201,0.16,0.395,0.117,0.038,0.622,0.84,0.605,0.883,0.962,0.378,26.0,58.0,18.0,6.0,91.0,0.2664,39.8,0.038,0.4221105527638191,0.43423423423423435,38.0,0.35944569914890334,5.0,5.0,3.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.9408500720661859,0.041876835226290376,-0.21348981007154788,-0.5103064795377418,1.539,0.361,0.2,0.1,0.5,0.20713389315697914,0.19100455710291125,0.3518883194435949,0.45844239514348867,0.44643083515302606,1.6549,2.933,0.757,0.944,0.782,1.201,0.071,0.252,0.373,0.586,0.372,0.929,0.748,0.627,0.41400000000000003,0.628,11.0,37.0,58.0,87.0,54.0,0.3308,49.4,0.071,0.28016194331983807,0.27835550181378477,38.0,0.42663079922544145,5.0,5.0,2.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.8553449322571782,-0.5098039922095028,-0.9592519431074953,-0.7562407001720842,1.539,0.361,0.2,0.1,0.5,0.2627122340328341,0.5495970949361768,0.4780411680836952,0.24300681085531112,0.12154269209198282,1.6549,2.933,0.757,0.944,0.782,1.201,0.09,0.726,0.506,0.311,0.101,0.91,0.274,0.494,0.6890000000000001,0.899,14.0,107.0,79.0,46.0,15.0,0.3468,52.2,0.09,0.3831417624521073,0.38685121107266435,38.0,0.7701603919365652,5.0,4.0,3.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.1233660887165684,0.057403479773426414,0.0017992391144532327,-0.3511604076591467,1.539,0.361,0.2,0.1,0.5,0.7384984823342305,0.1809122381472728,0.2220427564283326,0.030522752687324118,0.48292377040283996,1.6549,2.933,0.757,0.944,0.782,1.201,0.252,0.239,0.235,0.039,0.402,0.748,0.761,0.765,0.961,0.598,40.0,35.0,37.0,6.0,59.0,0.2334,35.4,0.039,0.25084745762711863,0.2546700942587833,38.0,0.13343230381589868,5.0,5.0,4.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.9408500720661859,0.041876835226290376,-0.25396336760662575,-0.03394502839529112,1.539,0.361,0.2,0.1,0.5,0.20713389315697914,0.19100455710291125,0.3781961318413955,0.7680773383860815,0.11048807951263251,1.6549,2.933,0.757,0.944,0.782,1.201,0.071,0.252,0.401,0.982,0.092,0.929,0.748,0.599,0.018000000000000016,0.908,11.0,37.0,63.0,145.0,13.0,0.35960000000000003,53.8,0.071,0.4728624535315985,0.47408231368186876,38.0,0.3176588258235983,4.0,4.0,3.0,4.0,ZAs_below_50 high_drought-1000-0.01-1
-0.8740704199047094,0.19314128637688266,-0.06368504721150559,-0.6867191389310721,1.539,0.361,0.2,0.1,0.5,0.2505406670619389,0.09268266385502626,0.3528371168324524,0.30036739263286427,0.6584721596177182,1.6549,2.933,0.757,0.944,0.782,1.201,0.085,0.122,0.374,0.384,0.548,0.915,0.878,0.626,0.616,0.45199999999999996,14.0,18.0,58.0,57.0,80.0,0.3026,45.4,0.085,0.3030837004405286,0.3140779907468606,38.0,0.4544039731060424,5.0,5.0,2.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
0.12066112155020614,-0.5706023292663747,-0.35479650469522606,-0.01060877878926051,1.539,0.361,0.2,0.1,0.5,0.897116169007634,0.5891160140231435,0.04562621402875343,0.09326362477934669,0.029777978161122418,1.6549,2.933,0.757,0.944,0.782,1.201,0.306,0.778,0.048,0.119,0.025,0.694,0.22199999999999998,0.952,0.881,0.975,49.0,114.0,8.0,18.0,4.0,0.2552,38.6,0.025,0.5409326424870466,0.5529780564263324,38.0,0.2641671835752668,5.0,4.0,4.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.46111759305863215,0.11761540909520574,-0.8753567383929579,-0.6450565563137042,1.539,0.361,0.2,0.1,0.5,0.5189600045118891,0.14177448408811627,0.8313318958673064,0.05902873388420319,0.10380488164848509,1.6549,2.933,0.757,0.944,0.782,1.201,0.177,0.187,0.881,0.075,0.086,0.823,0.813,0.119,0.925,0.914,28.0,28.0,138.0,11.0,13.0,0.2812,43.6,0.075,0.4935779816513762,0.48733997155049785,38.0,0.524786574215125,5.0,4.0,4.0,4.0,ZAs_below_50 high_drought-1000-0.01-1
-0.5639360804847691,-0.09054241792133055,0.0028591718933865806,-0.20501650625397605,1.539,0.361,0.2,0.1,0.5,0.45212798768490003,0.27707707164886486,0.12518896662043388,0.4118867832500155,0.3886191907957857,1.6549,2.933,0.757,0.944,0.782,1.201,0.154,0.366,0.133,0.527,0.324,0.846,0.634,0.867,0.473,0.6759999999999999,25.0,54.0,21.0,78.0,47.0,0.30080000000000007,45.0,0.133,0.25422222222222224,0.26595744680851063,38.0,0.21558854413836556,5.0,5.0,3.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
-0.9057273539535993,-0.5098039922095028,-0.9869697616503252,-0.7562407001720842,1.539,0.361,0.2,0.1,0.5,0.2299636599301604,0.5495970949361768,0.49605775013653464,0.2757553849579848,0.10352611003914335,1.6549,2.933,0.757,0.944,0.782,1.201,0.078,0.726,0.525,0.353,0.086,0.922,0.274,0.475,0.647,0.914,13.0,107.0,82.0,52.0,13.0,0.3536,53.4,0.078,0.3850187265917603,0.39253393665158376,38.0,0.7896854519963779,5.0,4.0,2.0,5.0,ZAs_below_50 high_drought-1000-0.01-1
