aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Toluquilla,delivered_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,average_supply_percapita,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment
-0.9408500720661859,0.041876835226290376,-0.21348981007154788,-0.5103064795377418,1.539,0.361,0.2,0.1,0.5,0.20713389315697914,0.19100455710291125,0.3518883194435949,0.45844239514348867,0.44643083515302606,1.6549,2.933,0.757,0.944,0.782,1.201,0.071,0.252,0.373,0.586,0.372,0.929,0.748,0.627,0.41400000000000003,0.628,11.0,37.0,58.0,87.0,54.0,0.3308,49.4,0.071,0.28016194331983807,0.27835550181378477,38.0,0.42663079922544145,5.0,5.0,2.0,5.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
-0.8553449322571782,-0.5098039922095028,-0.9592519431074953,-0.7562407001720842,1.539,0.361,0.2,0.1,0.5,0.2627122340328341,0.5495970949361768,0.4780411680836952,0.24300681085531112,0.12154269209198282,1.6549,2.933,0.757,0.944,0.782,1.201,0.09,0.726,0.506,0.311,0.101,0.91,0.274,0.494,0.6890000000000001,0.899,14.0,107.0,79.0,46.0,15.0,0.3468,52.2,0.09,0.3831417624521073,0.38685121107266435,38.0,0.7701603919365652,5.0,4.0,3.0,5.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
-0.7234317720898042,0.14120726315544507,-0.8753567383929579,-0.6450565563137042,1.539,0.361,0.2,0.1,0.5,0.3484557881416272,0.1264397789489607,0.846666601006462,0.22953295025446505,0.10380488164848509,1.6548999999999998,2.933,0.757,0.944,0.782,1.201,0.119,0.167,0.897,0.294,0.086,0.881,0.833,0.10299999999999998,0.706,0.914,19.0,25.0,140.0,43.0,13.0,0.31260000000000004,48.0,0.086,0.4633333333333333,0.4598848368522073,38.0,0.5962630824879779,5.0,4.0,4.0,4.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
-0.20440537387025448,-0.7497419694290193,-0.48177406216834395,-0.17106561901484185,1.539,0.361,0.2,0.1,0.5,0.6858229469843345,0.7055567801288626,0.011720860280561064,0.20025990065601823,0.051539511950223646,1.6548999999999998,2.933,0.757,0.944,0.782,1.201,0.234,0.932,0.012,0.256,0.043,0.766,0.06799999999999995,0.988,0.744,0.957,37.0,137.0,2.0,38.0,6.0,0.2954,44.0,0.012,0.5490909090909091,0.555991875423155,38.0,0.4017467561206149,5.0,4.0,4.0,4.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
-0.9408500720661859,0.041876835226290376,-0.25396336760662575,-0.03394502839529112,1.539,0.361,0.2,0.1,0.5,0.20713389315697914,0.19100455710291125,0.3781961318413955,0.7680773383860815,0.11048807951263251,1.6549,2.933,0.757,0.944,0.782,1.201,0.071,0.252,0.401,0.982,0.092,0.929,0.748,0.599,0.018000000000000016,0.908,11.0,37.0,63.0,145.0,13.0,0.35960000000000003,53.8,0.071,0.4728624535315985,0.47408231368186876,38.0,0.3176588258235983,4.0,4.0,3.0,4.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
-0.9057273539535993,-0.5098039922095028,-0.9869697616503252,-0.7562407001720842,1.539,0.361,0.2,0.1,0.5,0.2299636599301604,0.5495970949361768,0.49605775013653464,0.2757553849579848,0.10352611003914335,1.6549,2.933,0.757,0.944,0.782,1.201,0.078,0.726,0.525,0.353,0.086,0.922,0.274,0.475,0.647,0.914,13.0,107.0,82.0,52.0,13.0,0.3536,53.4,0.078,0.3850187265917603,0.39253393665158376,38.0,0.7896854519963779,5.0,4.0,2.0,5.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
-0.8740704199047094,0.19312341260127014,-0.10031093073980446,-0.6867191389310721,1.539,0.361,0.2,0.1,0.5,0.2505406670619389,0.0926942818091744,0.37663232317169854,0.30036739263286427,0.634665335324324,1.6549,2.933,0.757,0.944,0.782,1.201,0.085,0.122,0.399,0.384,0.528,0.915,0.878,0.601,0.616,0.472,14.0,18.0,62.0,57.0,77.0,0.30360000000000004,45.6,0.085,0.2982456140350877,0.30645586297760213,38.0,0.463555975544214,5.0,5.0,2.0,5.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
-0.5639360804847691,-0.09054241792133055,0.0028591718933865806,-0.20501650625397605,1.539,0.361,0.2,0.1,0.5,0.45212798768490003,0.27707707164886486,0.12518896662043388,0.4118867832500155,0.3886191907957857,1.6549,2.933,0.757,0.944,0.782,1.201,0.154,0.366,0.133,0.527,0.324,0.846,0.634,0.867,0.473,0.6759999999999999,25.0,54.0,21.0,78.0,47.0,0.30080000000000007,45.0,0.133,0.25422222222222224,0.26595744680851063,38.0,0.21558854413836556,5.0,5.0,3.0,5.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
-0.46111759305863215,0.11761540909520574,-0.8753567383929579,-0.6450565563137042,1.539,0.361,0.2,0.1,0.5,0.5189600045118891,0.14177448408811627,0.8313318958673064,0.05902873388420319,0.10380488164848509,1.6549,2.933,0.757,0.944,0.782,1.201,0.177,0.187,0.881,0.075,0.086,0.823,0.813,0.119,0.925,0.914,28.0,28.0,138.0,11.0,13.0,0.2812,43.6,0.075,0.4935779816513762,0.48733997155049785,38.0,0.524786574215125,5.0,4.0,4.0,4.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
-0.8740704199047094,0.19314128637688266,-0.06368504721150559,-0.6867191389310721,1.539,0.361,0.2,0.1,0.5,0.2505406670619389,0.09268266385502626,0.3528371168324524,0.30036739263286427,0.6584721596177182,1.6549,2.933,0.757,0.944,0.782,1.201,0.085,0.122,0.374,0.384,0.548,0.915,0.878,0.626,0.616,0.45199999999999996,14.0,18.0,58.0,57.0,80.0,0.3026,45.4,0.085,0.3030837004405286,0.3140779907468606,38.0,0.4544039731060424,5.0,5.0,2.0,5.0,supplied_demand_deficit-supply_percapita_GINI-energy_costs high_drought-10000-0.01-1
