policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Pozos,delivered_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment_name,scenario,seed,duration
0,-615,-297,-138,-185,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.591,0.457,0.198,0.526,0.419,2.191,0.202,0.604,0.209,0.672,0.349,0.798,0.396,0.791,0.328,0.651,32.307,88.706,32.718,99.263,51.138,0.407,60.826,0.202,0.25,0.262,0.309,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
1,-989,311,-403,-477,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.348,0.062,0.765,0.579,0.437,2.191,0.119,0.082,0.811,0.74,0.364,0.881,0.918,0.189,0.26,0.636,19.025,12.032,126.648,109.33,53.278,0.423,64.062,0.082,0.399,0.393,0.545,5.0,3.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
2,-918,224,-223,-961,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.394,0.119,0.592,0.218,0.869,2.191,0.134,0.157,0.627,0.279,0.723,0.866,0.843,0.373,0.721,0.277,21.546,23.003,97.92,41.195,105.901,0.384,57.913,0.134,0.337,0.343,0.582,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
3,-552,85,216,-477,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.632,0.209,0.216,0.295,0.839,2.191,0.216,0.276,0.229,0.377,0.699,0.784,0.724,0.771,0.623,0.301,34.545,40.532,35.731,55.681,102.335,0.359,53.765,0.216,0.231,0.248,0.332,5.0,4.0,3.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
4,-613,-844,-498,-2,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.593,0.813,0.076,0.643,0.066,2.191,0.202,1.073,0.081,0.822,0.055,0.798,0.073,0.919,0.178,0.945,32.378,157.687,12.598,121.483,8.104,0.447,66.45,0.055,0.491,0.497,0.489,4.0,3.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
5,-891,119,405,-686,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.412,0.187,0.115,0.379,1.098,2.191,0.14,0.247,0.122,0.485,0.914,0.86,0.753,0.878,0.515,0.086,22.505,36.245,19.054,71.641,133.877,0.382,56.664,0.122,0.394,0.404,0.525,5.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
6,-801,-766,-632,-785,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.47,0.762,0.214,0.256,0.488,2.191,0.16,1.006,0.227,0.328,0.406,0.84,0.006,0.773,0.672,0.594,25.702,147.85,35.408,48.438,59.539,0.426,63.387,0.16,0.339,0.352,0.746,4.0,4.0,3.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
7,-526,-124,14,-33,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.649,0.345,0.211,0.567,0.419,2.191,0.221,0.455,0.224,0.724,0.349,0.779,0.545,0.776,0.276,0.651,35.468,66.889,34.978,106.997,51.138,0.395,59.094,0.221,0.238,0.251,0.174,5.0,4.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
8,-972,-124,-614,-226,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.359,0.345,0.62,0.731,0.137,2.191,0.122,0.455,0.657,0.934,0.114,0.878,0.545,0.343,0.066,0.886,19.628,66.889,102.547,138.057,16.664,0.457,68.757,0.114,0.379,0.381,0.484,5.0,3.0,2.0,4.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
9,-731,86,-94,-682,1.863,0.437,0.333,0.767,0.167,2.933,0.757,0.944,0.782,1.201,0.516,0.208,0.418,0.278,0.771,2.191,0.176,0.275,0.443,0.355,0.642,0.824,0.725,0.557,0.645,0.358,28.188,40.406,69.193,52.489,94.013,0.378,56.858,0.176,0.226,0.233,0.398,5.0,5.0,2.0,5.0,Sup. Dem. Deficit & All Justice,rep_scen_HIGH,1,72.0
