policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,experiment_name,scenario,seed,duration
0,0.128893666,-0.836513475,-0.466552714,-0.109231872,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.859378563,0.750472759,0.650025505,0.22138172,0.883141453,3.3644,0.29301092,0.991156677,0.688943315,0.2829903,0.735078284,0.70698908,0.008843323,0.311056685,0.7170097,0.264921716,46.95532077,145.6008119,107.5980551,41.81213789,107.6779874,0.598235899,89.92886262,0.2829903,0.238677556,0.248517365,0.385297932,4,2,2,A-priori,chapala_incident,1,1687
1,-0.204405374,-0.743455902,-0.612624634,-0.171065619,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.642734187,0.689985337,0.805459675,0.397834161,0.828386641,3.3644,0.219144558,0.91127035,0.853683516,0.508547899,0.689503395,0.780855442,0.08872965,0.146316484,0.491452101,0.310496605,35.11815538,133.8655188,133.3269139,75.13852901,101.0019471,0.636429943,95.69021282,0.219144558,0.213759049,0.217386026,0.432887882,5,2,1,A-priori,chapala_incident,1,1687
2,-0.286114047,-0.507866588,-0.047974794,-0.209002318,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.589623549,0.536852282,0.591570334,0.426285944,1.22006789,3.3644,0.201036128,0.709026034,0.626988362,0.544917563,1.015517286,0.798963872,0.290973966,0.373011638,0.455082437,0.015517286,32.21625961,104.1558501,97.92203057,80.51218809,148.7581118,0.619497075,92.71288803,0.201036128,0.221524642,0.231551801,0.262739437,4,3,1,A-priori,chapala_incident,1,1687
3,0.453601586,-0.45875726,0.026566202,-0.075513756,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,1.070438711,0.504931219,0.575039749,0.032238348,1.181751973,3.3644,0.364973301,0.666867575,0.609468072,0.041209996,0.983625227,0.635026699,0.333132425,0.390531928,0.958790004,0.016374773,58.48737119,97.9627769,95.1857399,6.088823691,144.0864016,0.533228834,80.36222266,0.041209996,0.314048617,0.328072992,0.253609701,4,4,1,A-priori,chapala_incident,1,1687
4,-0.40890028,-0.77035329,-0.204033694,-0.006775943,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.509812498,0.707468639,0.522392262,0.637544139,0.987182462,3.3644,0.173824011,0.934360717,0.553668516,0.81496705,0.821676287,0.826175989,0.065639283,0.446331484,0.18503295,0.178323713,27.85548814,137.2574913,86.47105536,120.4123062,120.3633013,0.659699316,98.47192846,0.173824011,0.205333854,0.216957167,0.347515802,5,2,1,A-priori,chapala_incident,1,1687
5,-0.204405374,-0.743455902,-0.612624634,-0.126506817,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.642734187,0.689985337,0.805459675,0.426797382,0.799423419,3.3644,0.219144558,0.91127035,0.853683516,0.545571329,0.665396006,0.780855442,0.08872965,0.146316484,0.454428671,0.334603994,35.11815538,133.8655188,133.3269139,80.60878286,97.47057463,0.639013152,96.07798911,0.219144558,0.208341461,0.211872168,0.421748182,5,3,1,A-priori,chapala_incident,1,1687
6,-0.024919525,-0.556926488,-0.00828894,-0.067762967,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.759399988,0.568741217,0.533885593,0.348315083,1.154058118,3.3644,0.25892255,0.751142061,0.565849967,0.445248098,0.960574388,0.74107745,0.248857939,0.434150033,0.554751902,0.039425612,41.4926222,110.34269,88.37353467,65.78591167,140.7097981,0.596347413,89.34091134,0.25892255,0.21758554,0.229288848,0.16447448,5,3,1,A-priori,chapala_incident,1,1687
7,0.453601586,-0.50751955,0.025318462,-0.075513756,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,1.070438711,0.536626708,0.544155292,0.032238348,1.180940941,3.3644,0.364973301,0.708728116,0.576734525,0.041209996,0.982950169,0.635026699,0.291271884,0.423265475,0.958790004,0.017049831,58.48737119,104.1120859,90.07346735,6.088823691,143.9875157,0.534919221,80.54985277,0.041209996,0.319227994,0.333094803,0.265488338,4,3,1,A-priori,chapala_incident,1,1687
8,-0.317003784,-0.744628269,-0.54964686,-0.201789829,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.56954522,0.690747375,0.763762084,0.451052391,0.88929293,3.3644,0.194190286,0.912276781,0.80948944,0.576576293,0.740198434,0.805809714,0.087723219,0.19051056,0.423423707,0.259801566,31.11920596,134.0133635,126.4247544,85.18980148,108.428013,0.646546247,97.03502765,0.194190286,0.203656988,0.206523341,0.453267186,5,2,1,A-priori,chapala_incident,1,1687
9,0.177777515,-0.778624992,-0.574332693,-0.055440046,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.891153064,0.712845245,0.757710006,0.224571906,0.778119779,3.3644,0.30384465,0.941461652,0.803075017,0.287068286,0.647664029,0.69615535,0.058538348,0.196924983,0.712931714,0.352335971,48.69143796,138.300618,125.4229601,42.41466501,94.87310501,0.596622727,89.94055723,0.287068286,0.238827454,0.242433554,0.396543811,5,3,2,A-priori,chapala_incident,1,1687
10,-0.28929437,-0.599102815,-0.481774062,-0.119267467,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.58755634,0.596155829,0.814236311,0.486680807,0.879770713,3.3644,0.200331298,0.787348806,0.862985619,0.622119783,0.732272666,0.799668702,0.212651194,0.137014381,0.377880217,0.267727334,32.10330996,115.6614571,134.7797014,91.91890373,107.2670063,0.641011635,96.3460757,0.200331298,0.19022702,0.186023165,0.372359679,5,2,1,A-priori,chapala_incident,1,1687
11,-0.520173387,-0.714405478,-0.313856724,-0.121297717,2.932923333,0.757168646,0.943510868,0.782294375,1.201425035,0.437484979,0.671102561,0.63014331,0.635432505,0.990236645,3.3644,0.149163455,0.886331684,0.667870748,0.812267767,0.824218421,0.850836545,0.113668316,0.332129252,0.187732233,0.175781579,23.90360708,130.2020314,104.3069757,120.0134841,120.7356859,0.667970415,99.83235685,0.149163455,0.183528119,0.195300162,0.417433326,5,1,1,A-priori,chapala_incident,1,1687
