policy,aqp4_Toluquilla_to_PP1,aqp1_PP2_to_PP3,aqp2_PP3_to_Pozos,aqp3_Pozos_to_Toluquilla,delivered_PP1,delivered_PP2,delivered_PP3,delivered_Pozos,delivered_Toluquilla,demand_PP1,demand_PP2,demand_PP3,demand_Toluquilla,demand_Pozos,supplied_PP1,supplied_PP2,supplied_PP3,supplied_Toluquilla,supplied_Pozos,total_supplied,supplied_demand_PP1,supplied_demand_PP2,supplied_demand_PP3,supplied_demand_Toluquilla,supplied_demand_Pozos,supplied_demand_deficit_PP1,supplied_demand_deficit_PP2,supplied_demand_deficit_PP3,supplied_demand_deficit_Toluquilla,supplied_demand_deficit_Pozos,supply_percapita_PP1,supply_percapita_PP2,supply_percapita_PP3,supply_percapita_Toluquilla,supply_percapita_Pozos,supplied_demand_average,supply_percapita_average,min_supplied_demand,supply_percapita_GINI,supplied_demand_GINI,energy_costs,ZAs_below_142,ZAs_below_100,ZAs_below_50,ZAs_below_128,experiment_name,scenario,seed,duration
0,-0.8740704199047094,0.1931412863768826,-0.1003109307398044,-0.6867191389310721,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.4049786670619397,0.6669576638550263,0.8862439411258466,0.6572043926328642,0.7360653353243239,5.351450000000001,0.8199937038001697,0.8808574780866401,0.9393044331882174,0.8400985787899399,0.6126602276891187,0.1800062961998303,0.1191425219133599,0.0606955668117825,0.1599014212100601,0.3873397723108813,131.40488904623962,129.39787115950148,146.69905053284074,124.12551812940907,89.7455709669439,0.8185828843108173,124.27457996698698,0.6126602276891187,0.0780119828726466,0.0697940012157403,0.4635604439881171,4.0,1.0,0.0,2.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
1,-0.8711716133046774,0.4296489039376225,0.335557479371084,-0.7474135922061166,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.40686289135196,0.5132277124405453,0.75665942596825,0.6158687737140645,1.0588311965251804,5.351450000000001,0.8206361427853985,0.6778248350150465,0.8019615370489793,0.787259621691725,0.8813127460507676,0.1793638572146014,0.3221751649849534,0.1980384629510206,0.2127403783082749,0.1186872539492324,131.50784059718657,99.57239718337316,125.24905865675689,116.31850227100766,129.09915156905842,0.7937989765183835,120.34939005547656,0.6778248350150465,0.0509526711122302,0.0443792301266508,0.5959478972048751,5.0,1.0,0.0,3.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
2,-0.1233660887165684,0.0574034797734264,0.0017992391144532,-0.3511604076591467,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.892936482334231,0.7551872381472728,0.7316427564283325,0.3873597526873241,0.5843237704028399,5.35145,0.9863662133460352,0.997383135584174,0.7754470893760306,0.4951585554828054,0.4863589100571219,0.0136337866539648,0.002616864415826,0.2245529106239694,0.5048414445171946,0.513641089942878,158.0662659030388,146.5154780263856,121.10807500801384,73.16023834255411,71.24431472004325,0.7481427807692335,114.01887440000712,0.4863589100571219,0.1733040381951409,0.1618146854119389,0.1334323038158986,3.0,2.0,0.0,3.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
3,-0.8903222748190622,0.2007326863418546,-0.0785454521433753,-0.6004650186107853,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.3944149613676102,0.6620232538777946,0.8770307900153995,0.7238332765353799,0.6941477182038164,5.351450000000001,0.8163919370665254,0.8743405548035834,0.9295396796253528,0.9252696934390968,0.577770312872087,0.1836080629334746,0.1256594451964165,0.0704603203746472,0.0747303065609031,0.422229687127913,130.82770198271515,128.44053581261988,145.17400707967906,136.70964694761687,84.63471965862068,0.824662435561329,125.15732229625034,0.577770312872087,0.0826784617017898,0.0788120282768655,0.4425163579787693,4.0,1.0,0.0,1.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
4,-0.1557860000771695,0.3304809519574374,0.44492859496963,-0.0635594132005403,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.87186353994984,0.5776868812276658,0.6211090320420748,0.5953733414698089,0.6854172053106108,5.351450000000001,0.9791812514532736,0.7629566866069428,0.6582955777945558,0.76106049141643,0.570503514993829,0.0208187485467262,0.2370433133930571,0.3417044222054441,0.23893950858357,0.429496485006171,156.91486789114646,112.07825725484147,102.81154098745556,112.44755104925346,83.57024232646948,0.7463995044530063,113.56449190183329,0.570503514993829,0.1101226332796216,0.0988228503615601,0.2486887400511943,4.0,1.0,0.0,4.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
5,-0.8896775312182923,0.1931412863768826,0.1015984469252259,-0.6867191389310721,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.3948340447081105,0.6669576638550263,0.7550028456435768,0.6673490149866931,0.8673064308065938,5.351450000000001,0.8165348263591765,0.8808574780866401,0.8002057752652415,0.8530663600728218,0.721898084142321,0.1834651736408235,0.1191425219133599,0.1997942247347585,0.1469336399271782,0.2781019158576789,130.85060014834704,129.39787115950148,124.97484661480802,126.0415225262324,105.74728505825315,0.8145125047852403,123.4024251014284,0.721898084142321,0.0354156117628835,0.0364173043893518,0.4677841008628682,5.0,0.0,0.0,3.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
6,-0.0837063998005511,0.0769575914756885,0.2374305781151424,-0.3875475352172743,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.9187152801296423,0.7424770655408025,0.5911925586843549,0.3379293219791299,0.7611357736660709,5.351450000000001,0.9951556683933012,0.9805966869159494,0.6265879691483792,0.4319720718676136,0.6335274791756365,0.0048443316066987,0.0194033130840506,0.3734120308516208,0.5680279281323863,0.3664725208243635,159.47478570009372,144.0495504773402,97.85949783859829,63.82436370173747,92.8023115786727,0.733567975100176,111.60210185928847,0.4319720718676136,0.1738663188986834,0.1614438973420872,0.1964105261521641,3.0,3.0,0.0,3.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
7,-0.1493290529133568,0.0574034797734264,-0.3720002300030813,-0.3583379576615375,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.876060555606318,0.7551872381472728,0.97461241135473,0.3995702719136825,0.3460195229779965,5.35145,0.9806122522601404,0.997383135584174,1.0329636301522105,0.5107671545173548,0.2880075851407563,0.0193877477398596,0.002616864415826,0.0329636301522104,0.4892328454826452,0.7119924148592437,157.14418733760064,146.5154780263856,161.326592768163,75.4664265582612,42.18880874438546,0.7619467515309272,116.52829868695919,0.2880075851407563,0.2196570841123596,0.2075240105289169,0.2342676800878505,2.0,2.0,1.0,2.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
8,-0.002386142479663,0.9267717666431514,0.6165052567447931,-0.1904446520231915,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.971573447388219,0.1900978516819516,0.8971732314339329,0.4131880287967064,0.87941744069919,5.35145,1.0131780171733842,0.2510640829200363,0.9508880732692374,0.5281746130370762,0.7319786214564086,0.0131780171733841,0.7489359170799637,0.0491119267307625,0.4718253869629237,0.2680213785435914,162.36288682919283,36.88128745303092,148.5081647471024,78.03839830375429,107.22393318395038,0.6950566815712286,106.60293410340618,0.2510640829200363,0.2412188504184156,0.2240900784480077,0.4340269544726997,3.0,2.0,1.0,3.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
9,-0.1050202676481355,0.4429688151665367,0.9642555094667656,-0.2055644853962692,5.589,1.3110000000000002,1.0,0.7,0.2,2.932923333333333,0.7571686458333333,0.9435108680555556,0.782294375,1.2014250347222222,2.9048612660287123,0.5045697701417512,0.356663648704851,0.470072318463713,1.1152829966609727,5.351450000000001,0.9904320488075194,0.6663902063541287,0.3780175308842866,0.6008892988188916,0.9283001139716004,0.0095679511924805,0.3336097936458713,0.6219824691157134,0.3991107011811083,0.0716998860283996,158.71782048842232,97.89265143218064,59.03816793163334,88.78207562467715,135.9820990360332,0.7128058397672854,108.08256290258933,0.3780175308842866,0.1824970259057594,0.1742117995560692,0.4294522694194268,4.0,3.0,0.0,3.0,Sup. Dem. Deficit & Energy,groundwater_scarcity,1,2242.0
